0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
77	0
116	0
155	0
194	0
233	0
272	0
311	0
350	0
389	0
428	0
467	0
506	0
545	0
584	0
623	0
662	0
701	0
740	0
779	0
818	0
857	0
896	0
935	0
974	0
1013	0
1052	0
1091	0
1130	0
1169	0
1208	0
1247	0
1286	0
1325	0
1364	0
1403	0
1442	0
1481	0
1520	0
1559	0
1598	0
1637	0
1676	0
1715	0
1754	0
