0	0
46	0
92	0
138	0
184	0
230	0
276	0
322	0
368	0
414	0
460	0
506	0
552	0
598	0
644	0
690	0
736	0
782	0
828	0
874	0
920	0
966	0
1012	0
1058	0
1104	0
1150	0
1196	0
1242	0
1288	0
1334	0
1380	0
1426	0
1472	0
1518	0
1564	0
1610	0
1656	0
1702	0
1748	0
1794	0
1840	0
1886	0
1932	0
1978	0
2024	0
2070	0
1	0
47	0
93	0
139	0
185	0
231	0
277	0
323	0
369	0
415	0
461	0
507	0
553	0
599	0
645	0
691	0
737	0
783	0
829	0
875	0
921	0
967	0
1013	0
1059	0
1105	0
1151	0
1197	0
1243	0
1289	0
1335	0
1381	0
1427	0
1473	0
1519	0
1565	0
1611	0
1657	0
1703	0
1749	0
1795	0
1841	0
1887	0
1933	0
1979	0
2025	0
2071	0
2	0
48	0
94	0
140	0
186	0
232	0
278	0
324	0
370	0
416	0
462	0
508	0
554	0
600	0
646	0
692	0
738	0
784	0
830	0
876	0
922	0
968	0
1014	0
1060	0
1106	0
1152	0
1198	0
1244	0
1290	0
1336	0
1382	0
1428	0
1474	0
1520	0
1566	0
1612	0
1658	0
1704	0
1750	0
1796	0
1842	0
1888	0
1934	0
1980	0
2026	0
2072	0
3	0
49	0
95	0
141	0
187	0
233	0
279	0
325	0
371	0
417	0
463	0
509	0
555	0
601	0
647	0
693	0
739	0
785	0
831	0
877	0
923	0
969	0
1015	0
1061	0
1107	0
1153	0
1199	0
1245	0
1291	0
1337	0
1383	0
1429	0
1475	0
1521	0
1567	0
1613	0
1659	0
1705	0
1751	0
1797	0
1843	0
1889	0
1935	0
1981	0
2027	0
2073	0
4	0
50	0
96	0
142	0
188	0
234	0
280	0
326	0
372	0
418	0
464	0
510	0
556	0
602	0
648	0
694	0
740	0
786	0
832	0
878	0
924	0
970	0
1016	0
1062	0
1108	0
1154	0
1200	0
1246	0
1292	0
1338	0
1384	0
1430	0
1476	0
1522	0
1568	0
1614	0
1660	0
1706	0
1752	0
1798	0
1844	0
1890	0
1936	0
1982	0
2028	0
2074	0
5	0
51	0
97	0
143	0
189	0
235	0
281	0
327	0
373	0
419	0
465	0
511	0
557	0
603	0
649	0
695	0
741	0
787	0
833	0
879	0
925	0
971	0
1017	0
1063	0
1109	0
1155	0
1201	0
1247	0
1293	0
1339	0
1385	0
1431	0
1477	0
1523	0
1569	0
1615	0
1661	0
1707	0
1753	0
1799	0
1845	0
1891	0
1937	0
1983	0
2029	0
2075	0
6	0
52	0
98	0
144	0
190	0
236	0
282	0
328	0
374	0
420	0
466	0
512	0
558	0
604	0
650	0
696	0
742	0
788	0
834	0
880	0
926	0
972	0
1018	0
1064	0
1110	0
1156	0
1202	0
1248	0
1294	0
1340	0
1386	0
1432	0
1478	0
1524	0
1570	0
1616	0
1662	0
1708	0
1754	0
1800	0
1846	0
1892	0
1938	0
1984	0
2030	0
2076	0
7	0
53	0
99	0
145	0
191	0
237	0
283	0
329	0
375	0
421	0
467	0
513	0
559	0
605	0
651	0
697	0
743	0
789	0
835	0
881	0
927	0
973	0
1019	0
1065	0
1111	0
1157	0
1203	0
1249	0
1295	0
1341	0
1387	0
1433	0
1479	0
1525	0
1571	0
1617	0
1663	0
1709	0
1755	0
1801	0
1847	0
1893	0
1939	0
1985	0
2031	0
2077	0
8	0
54	0
100	0
146	0
192	0
238	0
284	0
330	0
376	0
422	0
468	0
514	0
560	0
606	0
652	0
698	0
744	0
790	0
836	0
882	0
928	0
974	0
1020	0
1066	0
1112	0
1158	0
1204	0
1250	0
1296	0
1342	0
1388	0
1434	0
1480	0
1526	0
1572	0
1618	0
1664	0
1710	0
1756	0
1802	0
1848	0
1894	0
1940	0
1986	0
2032	0
2078	0
9	0
55	0
101	0
147	0
193	0
239	0
285	0
331	0
377	0
423	0
469	0
515	0
561	0
607	0
653	0
699	0
745	0
791	0
837	0
883	0
929	0
975	0
1021	0
1067	0
1113	0
1159	0
1205	0
1251	0
1297	0
1343	0
1389	0
1435	0
1481	0
1527	0
1573	0
1619	0
1665	0
1711	0
1757	0
1803	0
1849	0
1895	0
1941	0
