0	1
5	1.5
10	2
15	2.5
20	3
1	1.5
6	2
11	2.5
16	3
21	3.5
2	2
7	2.5
12	3
17	3.5
22	4
3	2.5
8	3
13	3.5
18	4
23	4.5
4	3
9	3.5
14	4
19	4.5
24	5
100	3
105	3.5
110	4
115	4.5
120	5
101	3.5
106	4
111	4.5
116	5
121	5.5
102	4
107	4.5
112	5
117	5.5
122	6
103	4.5
108	5
113	5.5
118	6
123	6.5
104	5
109	5.5
114	6
119	6.5
124	7
0	1
25	1.5
50	2
75	2.5
100	3
5	1.5
30	2
55	2.5
80	3
105	3.5
10	2
35	2.5
60	3
85	3.5
110	4
15	2.5
40	3
65	3.5
90	4
115	4.5
20	3
45	3.5
70	4
95	4.5
120	5
4	3
29	3.5
54	4
79	4.5
104	5
9	3.5
34	4
59	4.5
84	5
109	5.5
14	4
39	4.5
64	5
89	5.5
114	6
19	4.5
44	5
69	5.5
94	6
119	6.5
24	5
49	5.5
74	6
99	6.5
124	7
0	1
25	1.5
50	2
75	2.5
100	3
1	1.5
26	2
51	2.5
76	3
101	3.5
2	2
27	2.5
52	3
77	3.5
102	4
3	2.5
28	3
53	3.5
78	4
103	4.5
4	3
29	3.5
54	4
79	4.5
104	5
20	3
45	3.5
70	4
95	4.5
120	5
21	3.5
46	4
71	4.5
96	5
121	5.5
22	4
47	4.5
72	5
97	5.5
122	6
23	4.5
48	5
73	5.5
98	6
123	6.5
24	5
49	5.5
74	6
99	6.5
124	7
